text,label
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
The road to Tiger Point is completely deserted right now.,1
No autos outside Lonavala station and it's getting super foggy.,1
"Streetlights near Khandala Ghat are flickering, hard to see.",1
"Quiet around Ryewood park, but a few guys are just lingering.",1
Lots of blind spots on the walk to the college campus at night.,1
Someone is following me near the highway exit.,2
"Pitch black blackout on this street, do not walk here.",2
Group of men catcalling outside the dhaba.,2
Got harassed waiting for the bus near Bhushi Dam.,2
"Lots of families and police around the market area, feels secure.",0
"SIT campus is well lit and crowded, no issues.",0
"Sunny and busy near the chikki shops, completely safe.",0
Police jeep is patrolling the main road.,0
