timestamp,grid_code,tweet
2026-01-22 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-22 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-22 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-01-22 20:56:47,X9Y8Z,Street is well lit and there's a lot of foot traffic right now.
2026-01-22 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-01-22 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-01-22 20:56:47,L2K3J,"Lots of families and police patrolling, very safe."
2026-01-22 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-22 20:56:47,A1B2C,Beautiful sunny day at the park!
2026-01-22 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-23 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-23 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-01-23 20:56:47,L2K3J,Got harassed by someone at the bus stop here.
2026-01-23 20:56:47,M4N5P,Got harassed by someone at the bus stop here.
2026-01-23 20:56:47,R7T8W,Group of guys catcalling everyone who walks past the station.
2026-01-23 20:56:47,R7T8W,"Streetlights are out, feels sketchy."
2026-01-23 20:56:47,A1B2C,Street is well lit and there's a lot of foot traffic right now.
2026-01-23 20:56:47,M4N5P,Saw some weird guys lingering near the alley.
2026-01-23 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-01-24 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-24 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-24 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-24 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-01-24 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-24 20:56:47,A1B2C,"Just heard yelling down the street, turning around and taking a different route."
2026-01-24 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-01-24 20:56:47,L2K3J,"Cops are doing rounds on this block tonight, all good."
2026-01-24 20:56:47,L2K3J,Group of guys catcalling everyone who walks past the station.
